# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 275  of event 'cycles:u'
# Event count (approx.): 958061705
#
# Overhead  Command          Shared Object                 Symbol                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
# ........  ...............  ............................  ........................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................
#
    11.69%  yoctui-m52-opti  yoctui-m52-optimized-release  [.] serde_json::ser::format_escaped_str::<&mut alloc::vec::Vec<u8>, serde_json::ser::CompactFormatter>
     8.01%  yoctui-m52-opti  libc.so.6                     [.] __memmove_avx_unaligned_erms
     7.62%  yoctui-m52-opti  yoctui-m52-optimized-release  [.] <ratatui_core::buffer::buffer::Buffer>::set_style::<ratatui_core::style::Style>
     4.73%  yoctui-m52-opti  yoctui-m52-optimized-release  [.] <yoctui_protocol::daemon::DaemonSnapshotJournal>::synchronize_with_limit
     4.63%  yoctui-m52-opti  libc.so.6                     [.] _int_malloc
     4.07%  yoctui-m52-opti  libc.so.6                     [.] __libc_malloc2
     3.79%  yoctui-m52-opti  libc.so.6                     [.] malloc
     3.18%  yoctui-m52-opti  libc.so.6                     [.] _int_free_merge_chunk
     3.00%  yoctui-m52-opti  yoctui-m52-optimized-release  [.] yoctui::tui::{closure#0}
     2.56%  yoctui-m52-opti  libc.so.6                     [.] cfree@GLIBC_2.2.5
     2.06%  yoctui-m52-opti  yoctui-m52-optimized-release  [.] <serde_json::ser::Compound<&mut alloc::vec::Vec<u8>, serde_json::ser::CompactFormatter> as serde_core::ser::SerializeStruct>::serialize_field::<core::option::Option<alloc::string::String>>
     1.87%  yoctui-m52-opti  yoctui-m52-optimized-release  [.] <ratatui_core::buffer::cell::Cell as core::cmp::PartialEq>::eq
     1.86%  yoctui-m52-opti  yoctui-m52-optimized-release  [.] <unicode_segmentation::grapheme::Graphemes as core::iter::traits::iterator::Iterator>::next
     1.82%  yoctui-m52-opti  yoctui-m52-optimized-release  [.] <&ratatui_widgets::block::Block as ratatui_core::widgets::widget::Widget>::render
     1.62%  yoctui-m52-opti  libc.so.6                     [.] _int_free_chunk
     1.57%  yoctui-m52-opti  yoctui-m52-optimized-release  [.] <serde_json::ser::Compound<&mut alloc::vec::Vec<u8>, serde_json::ser::CompactFormatter> as serde_core::ser::SerializeMap>::serialize_entry::<str, alloc::string::String>
     1.51%  yoctui-m52-opti  yoctui-m52-optimized-release  [.] <ratatui_core::buffer::diff::BufferDiff as core::iter::traits::iterator::Iterator>::next
     1.46%  yoctui-m52-opti  yoctui-m52-optimized-release  [.] <&ratatui_core::text::span::Span as ratatui_core::widgets::widget::Widget>::render
     1.41%  yoctui-m52-opti  libc.so.6                     [.] _int_free_maybe_trim
     1.39%  yoctui-m52-opti  yoctui-m52-optimized-release  [.] ratatui_widgets::paragraph::render_line
     1.29%  yoctui-m52-opti  yoctui-m52-optimized-release  [.] <ratatui_core::buffer::cell::Cell>::set_symbol
     1.28%  yoctui-m52-opti  yoctui-m52-optimized-release  [.] <unicode_segmentation::grapheme::Graphemes as core::iter::traits::iterator::Iterator>::next
     1.18%  yoctui-m52-opti  libc.so.6                     [.] unlink_chunk.isra.0
     1.15%  yoctui-m52-opti  yoctui-m52-optimized-release  [.] <core::str::iter::Chars as core::iter::traits::double_ended::DoubleEndedIterator>::rfold::<(usize, unicode_width::tables::WidthInfo), unicode_width::tables::str_width::{closure#0}>
     1.11%  yoctui-m52-opti  yoctui-m52-optimized-release  [.] <ratatui_core::buffer::cell::Cell as ratatui_core::buffer::cell_width::CellWidth>::cell_width
     1.08%  yoctui-m52-opti  yoctui-m52-optimized-release  [.] <&ratatui_widgets::paragraph::Paragraph as ratatui_core::widgets::widget::Widget>::render
     1.04%  yoctui-m52-opti  yoctui-m52-optimized-release  [.] <yoctui_protocol::daemon::DaemonBuildEvent as core::clone::Clone>::clone
