# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 653  of event 'cycles:u'
# Event count (approx.): 3267337602
#
# Overhead  Command          Shared Object     Symbol                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
# ........  ...............  ................  ........................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................
#
    30.76%  yoctui           yoctui            [.] serde_json::ser::format_escaped_str::<&mut alloc::vec::Vec<u8>, serde_json::ser::CompactFormatter>
    11.25%  yoctui           libc.so.6         [.] __memmove_avx_unaligned_erms
     7.05%  yoctui           libc.so.6         [.] __libc_malloc2
     4.91%  yoctui           yoctui            [.] <serde_json::ser::Compound<&mut alloc::vec::Vec<u8>, serde_json::ser::CompactFormatter> as serde_core::ser::SerializeStruct>::serialize_field::<core::option::Option<alloc::string::String>>
     3.31%  yoctui           yoctui            [.] <yoctui_protocol::daemon::DaemonBuildEvent as serde_core::ser::Serialize>::serialize::<&mut serde_json::ser::Serializer<&mut alloc::vec::Vec<u8>>>
     3.26%  yoctui           libc.so.6         [.] _int_malloc
     3.22%  yoctui           libc.so.6         [.] _int_free_chunk
     3.21%  yoctui           libc.so.6         [.] _int_free_merge_chunk
     2.20%  yoctui           libc.so.6         [.] cfree@GLIBC_2.2.5
     2.04%  yoctui           yoctui            [.] <ratatui_core::buffer::cell::Cell as core::cmp::PartialEq>::eq
     1.76%  yoctui           yoctui            [.] <ratatui_core::buffer::buffer::Buffer>::set_style::<ratatui_core::style::Style>
     1.43%  yoctui           yoctui            [.] <unicode_segmentation::grapheme::Graphemes as core::iter::traits::iterator::Iterator>::next
     1.31%  yoctui           libc.so.6         [.] malloc
     1.17%  yoctui           yoctui            [.] <&ratatui_widgets::block::Block as ratatui_core::widgets::widget::Widget>::render
     1.10%  yoctui           yoctui            [.] <yoctui_protocol::daemon::CompatibilitySnapshotData as serde_core::ser::Serialize>::serialize::<&mut serde_json::ser::Serializer<&mut alloc::vec::Vec<u8>>>
     1.10%  yoctui           yoctui            [.] yoctui_model::compatibility::valid_text
     0.99%  yoctui           yoctui            [.] <serde_json::ser::Compound<&mut alloc::vec::Vec<u8>, serde_json::ser::CompactFormatter> as serde_core::ser::SerializeMap>::serialize_entry::<str, alloc::string::String>
     0.96%  yoctui           libc.so.6         [.] unlink_chunk.isra.0
     0.95%  yoctui           yoctui            [.] <yoctui_protocol::daemon::DaemonBuildEvent as core::clone::Clone>::clone
     0.86%  yoctui           yoctui            [.] core::ptr::drop_glue::<alloc::vec::Vec<yoctui_protocol::RecipeData>>
     0.83%  yoctui           yoctui            [.] ratatui_widgets::paragraph::render_line
     0.74%  yoctui           [unknown]         [k] 0xffffffff91e00b90
     0.72%  yoctui           libc.so.6         [.] __memcmp_avx2_movbe
     0.71%  yoctui           yoctui            [.] core::str::converts::from_utf8
     0.68%  yoctui           yoctui            [.] serde_json::ser::format_escaped_str::<&mut alloc::vec::Vec<u8>, serde_json::ser::CompactFormatter>
     0.63%  yoctui           yoctui            [.] <&ratatui_core::text::span::Span as ratatui_core::widgets::widget::Widget>::render
