# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 578  of event 'cycles:u'
# Event count (approx.): 199190858
#
# Overhead  Command  Shared Object     Symbol                                                                                                                                                   
# ........  .......  ................  .........................................................................................................................................................
#
    10.21%  yoctui   yoctui            [.] yoctui::run_daemon_foreground::{closure#0}
     6.80%  yoctui   yoctui            [.] <yoctui_protocol::daemon_ipc::DaemonListener>::accept
     5.59%  yoctui   libc.so.6         [.] __internal_syscall_cancel
     5.33%  yoctui   yoctui            [.] <yoctui::daemon_test::DaemonTestSupervisor>::try_event
     5.04%  yoctui   yoctui            [.] <yoctui::daemon_devtool::DaemonDevtoolSupervisor>::try_event
     4.77%  yoctui   yoctui            [.] <yoctui::daemon_security::DaemonSecurityMapperSupervisor>::try_event
     3.76%  yoctui   yoctui            [.] <tokio::sync::mpsc::list::Rx<yoctui::daemon_raw::DaemonRawEvent>>::pop
     3.76%  yoctui   yoctui            [.] <yoctui::daemon_security::DaemonSecuritySupervisor>::try_event
     3.61%  yoctui   yoctui            [.] <yoctui::daemon_raw::DaemonRawSupervisor>::try_event
     3.53%  yoctui   libc.so.6         [.] __syscall_cancel
     3.29%  yoctui   libc.so.6         [.] clock_gettime@@GLIBC_2.17
     2.98%  yoctui   yoctui            [.] <yoctui::daemon_sdk::DaemonSdkSupervisor>::try_event
     2.65%  yoctui   yoctui            [.] <yoctui::daemon_wic::DaemonWicSupervisor>::try_event
     2.54%  yoctui   yoctui            [.] core::ptr::drop_glue::<alloc::vec::drain::Drain<(yoctui_protocol::daemon_ipc::DaemonConnection, bool, bool, u64, yoctui_protocol::daemon::ClientId)>>
     2.48%  yoctui   yoctui            [.] <tokio::sync::mpsc::list::Rx<yoctui::daemon_bitbake::DaemonBitBakeEvent>>::pop
     2.26%  yoctui   yoctui            [.] <std::io::error::Error>::kind
     2.03%  yoctui   yoctui            [.] core::ptr::drop_glue::<yoctui_protocol::daemon_ipc::IpcError>
     1.98%  yoctui   yoctui            [.] <tokio::sync::mpsc::list::Rx<yoctui::daemon_wic::DaemonWicEvent>>::pop
     1.97%  yoctui   yoctui            [.] <alloc::vec::Vec<(yoctui_protocol::daemon_ipc::DaemonConnection, bool, bool, u64, yoctui_protocol::daemon::ClientId)>>::with_capacity
     1.80%  yoctui   libc.so.6         [.] __errno_location
     1.77%  yoctui   yoctui            [.] <tokio::sync::mpsc::list::Rx<yoctui::daemon_devtool::DaemonDevtoolEvent>>::pop
     1.68%  yoctui   libc.so.6         [.] accept4
     1.65%  yoctui   yoctui            [.] <tokio::sync::mpsc::list::Rx<yoctui::daemon_test::DaemonTestEvent>>::pop
     1.55%  yoctui   yoctui            [.] <std::sys::pal::unix::time::Timespec>::now
     1.41%  yoctui   yoctui            [.] <tokio::sync::mpsc::list::Rx<yoctui::daemon_security::DaemonSecurityMapperEvent>>::pop
     1.34%  yoctui   yoctui            [.] <tokio::sync::mpsc::list::Rx<yoctui::daemon_security::DaemonSecurityEvent>>::pop
     1.21%  yoctui   yoctui            [.] yoctui::termination_requested
     1.15%  yoctui   yoctui            [.] <tokio::sync::mpsc::chan::Rx<yoctui::daemon_bitbake::DaemonBitBakeEvent, tokio::sync::mpsc::unbounded::Semaphore>>::try_recv::{closure#0}
     1.13%  yoctui   yoctui            [.] <yoctui::daemon_bitbake::DaemonBitBakeSupervisor>::try_event
     1.12%  yoctui   yoctui            [.] <yoctui::daemon_pty::DaemonPtySupervisor>::try_event
     1.08%  yoctui   yoctui            [.] <tokio::sync::mpsc::list::Rx<yoctui::daemon_pty::DaemonPtyEvent>>::pop
     1.00%  yoctui   yoctui            [.] <tokio::sync::mpsc::list::Rx<()>>::pop
     0.92%  yoctui   yoctui            [.] <tokio::sync::mpsc::list::Rx<yoctui::daemon_sdk::DaemonSdkEvent>>::pop
     0.83%  yoctui   libc.so.6         [.] clock_nanosleep@GLIBC_2.2.5
     0.83%  yoctui   [vdso]            [.] 0x0000000000000a09
     0.74%  yoctui   yoctui            [.] yoctui::unix_ms
     0.67%  yoctui   yoctui            [.] core::ptr::drop_glue::<alloc::vec::Vec<(yoctui_protocol::daemon_ipc::DaemonConnection, bool, bool, u64, yoctui_protocol::daemon::ClientId)>>
     0.58%  yoctui   [vdso]            [.] 0x00000000000009b0
     0.49%  yoctui   [vdso]            [.] 0x00000000000009ec
     0.42%  yoctui   [unknown]         [k] 0xffffffff91e00080
     0.36%  yoctui   libc.so.6         [.] __syscall_cancel_arch_start
     0.32%  yoctui   yoctui            [.] <std::sys::pal::unix::time::Timespec>::sub_timespec
     0.27%  yoctui   libc.so.6         [.] __GI___ioctl
     0.18%  yoctui   [vdso]            [.] 0x00000000000009b1
     0.17%  yoctui   libc.so.6         [.] __syscall_cancel_arch
     0.16%  yoctui   libc.so.6         [.] __syscall_cancel_arch_end
     0.15%  yoctui   yoctui            [.] std::io::default_read_to_end::small_probe_read::<std::fs::File>
     0.15%  yoctui   [vdso]            [.] __vdso_clock_gettime
     0.15%  yoctui   [vdso]            [.] 0x0000000000000a29
     0.12%  yoctui   [vdso]            [.] 0x00000000000009b9


#
# (Cannot load tips.txt file, please install perf!)
#
