# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 4K of event 'cycles:u'
# Event count (approx.): 19641524534
#
# Overhead  Command          Shared Object     Symbol                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
# ........  ...............  ................  ........................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................
#
    33.12%  yoctui           yoctui            [.] serde_json::ser::format_escaped_str::<&mut alloc::vec::Vec<u8>, serde_json::ser::CompactFormatter>
    10.35%  yoctui           libc.so.6         [.] __memmove_avx_unaligned_erms
     6.13%  yoctui           yoctui            [.] <yoctui_model::LogState>::filtered::{closure#1}
     4.53%  yoctui           libc.so.6         [.] _int_free_chunk
     4.24%  yoctui           yoctui            [.] <yoctui_model::LogState>::filtered
     3.97%  yoctui           libc.so.6         [.] _int_malloc
     3.94%  yoctui           libc.so.6         [.] __libc_malloc2
     3.36%  yoctui           yoctui            [.] <serde_json::ser::Compound<&mut alloc::vec::Vec<u8>, serde_json::ser::CompactFormatter> as serde_core::ser::SerializeStruct>::serialize_field::<core::option::Option<alloc::string::String>>
     3.16%  yoctui           yoctui            [.] <yoctui_protocol::daemon::CompatibilitySnapshotData as serde_core::ser::Serialize>::serialize::<&mut serde_json::ser::Serializer<&mut alloc::vec::Vec<u8>>>
     2.37%  yoctui           libc.so.6         [.] _int_free_merge_chunk
     1.89%  yoctui           libc.so.6         [.] cfree@GLIBC_2.2.5
     1.74%  yoctui           yoctui            [.] <serde_json::ser::Compound<&mut alloc::vec::Vec<u8>, serde_json::ser::CompactFormatter> as serde_core::ser::SerializeMap>::serialize_entry::<str, alloc::string::String>
     1.41%  yoctui           yoctui            [.] <yoctui_protocol::daemon::LogRecord as serde_core::ser::Serialize>::serialize::<&mut serde_json::ser::Serializer<&mut alloc::vec::Vec<u8>>>
     1.26%  yoctui           yoctui            [.] <u64 as itoa::Unsigned>::fmt
