# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 3K of event 'cycles:u'
# Event count (approx.): 16440911739
#
# Overhead  Command          Shared Object     Symbol                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
# ........  ...............  ................  ........................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................
#
    40.95%  yoctui           yoctui            [.] serde_json::ser::format_escaped_str::<&mut alloc::vec::Vec<u8>, serde_json::ser::CompactFormatter>
     7.67%  yoctui           libc.so.6         [.] __memmove_avx_unaligned_erms
     6.33%  yoctui           libc.so.6         [.] __libc_malloc2
     5.32%  yoctui           yoctui            [.] <serde_json::ser::Compound<&mut alloc::vec::Vec<u8>, serde_json::ser::CompactFormatter> as serde_core::ser::SerializeStruct>::serialize_field::<core::option::Option<alloc::string::String>>
     4.91%  yoctui           libc.so.6         [.] _int_free_chunk
     3.22%  yoctui           yoctui            [.] <serde_json::ser::Compound<&mut alloc::vec::Vec<u8>, serde_json::ser::CompactFormatter> as serde_core::ser::SerializeStruct>::serialize_field::<bool>
     2.60%  yoctui           libc.so.6         [.] _int_free_merge_chunk
     2.39%  yoctui           libc.so.6         [.] _int_malloc
     2.32%  yoctui           yoctui            [.] <yoctui_protocol::daemon::DaemonBuildEvent as serde_core::ser::Serialize>::serialize::<&mut serde_json::ser::Serializer<&mut alloc::vec::Vec<u8>>>
     1.63%  yoctui           libc.so.6         [.] cfree@GLIBC_2.2.5
     1.37%  tokio-rt-worker  yoctui            [.] <yoctui_model::terminal_emulation::TerminalEmulator>::snapshot
     1.22%  yoctui           yoctui            [.] <serde_json::ser::Compound<&mut alloc::vec::Vec<u8>, serde_json::ser::CompactFormatter> as serde_core::ser::SerializeMap>::serialize_entry::<str, alloc::string::String>
     1.20%  yoctui           yoctui            [.] <yoctui_protocol::daemon::CompatibilitySnapshotData as serde_core::ser::Serialize>::serialize::<&mut serde_json::ser::Serializer<&mut alloc::vec::Vec<u8>>>
     1.08%  yoctui           libc.so.6         [.] malloc
     0.85%  yoctui           yoctui            [.] <yoctui_protocol::daemon::PtyScreenSnapshot as serde_core::ser::Serialize>::serialize::<&mut serde_json::ser::Serializer<&mut alloc::vec::Vec<u8>>>
     0.85%  yoctui           yoctui            [.] <&mut serde_json::de::Deserializer<serde_json::read::SliceRead> as serde_core::de::Deserializer>::deserialize_any::<serde::private::de::content::ContentVisitor>
     0.81%  tokio-rt-worker  yoctui            [.] <core::iter::adapters::chain::Chain<core::iter::adapters::take::Take<core::iter::adapters::skip::Skip<alloc::collections::vec_deque::iter::Iter<vt100::row::Row>>>, core::iter::adapters::take::Take<core::slice::iter::Iter<vt100::row::Row>>> as core::iter::traits::iterator::Iterator>::nth
     0.74%  yoctui           libc.so.6         [.] _int_free_maybe_trim
     0.73%  yoctui           yoctui            [.] <serde_json::read::SliceRead as serde_json::read::Read>::parse_str
     0.71%  yoctui           yoctui            [.] serde_json::ser::format_escaped_str::<&mut alloc::vec::Vec<u8>, serde_json::ser::CompactFormatter>
     0.67%  yoctui           yoctui            [.] <yoctui_protocol::daemon::DaemonBuildEvent as core::clone::Clone>::clone
     0.66%  yoctui           yoctui            [.] core::str::converts::from_utf8
     0.66%  yoctui           libc.so.6         [.] unlink_chunk.isra.0
     0.64%  yoctui           yoctui            [.] <serde_json::read::SliceRead>::skip_to_escape
     0.61%  yoctui           yoctui            [.] <serde_json::ser::Compound<&mut alloc::vec::Vec<u8>, serde_json::ser::CompactFormatter> as serde_core::ser::SerializeStruct>::serialize_field::<yoctui_protocol::daemon::PtyTerminalColor>
     0.35%  yoctui           yoctui            [.] <core::marker::PhantomData<alloc::vec::Vec<yoctui_protocol::RecipeData>> as serde_core::de::DeserializeSeed>::deserialize::<serde::private::de::content::ContentDeserializer<serde_json::error::Error>>
     0.33%  yoctui           yoctui            [.] <ratatui_core::buffer::buffer::Buffer>::set_style::<ratatui_core::style::Style>
     0.33%  tokio-rt-worker  yoctui            [.] core::str::converts::from_utf8
     0.29%  yoctui           yoctui            [.] <serde_json::ser::Compound<&mut alloc::vec::Vec<u8>, serde_json::ser::CompactFormatter> as serde_core::ser::SerializeStruct>::serialize_field::<u32>
     0.25%  yoctui           yoctui            [.] <ratatui_core::buffer::cell::Cell as core::cmp::PartialEq>::eq
     0.25%  yoctui           yoctui            [.] <yoctui_app::DaemonClientSnapshot>::install_app
     0.23%  yoctui           yoctui            [.] yoctui_model::compatibility::valid_text
     0.23%  yoctui           yoctui            [.] <core::marker::PhantomData<alloc::vec::Vec<yoctui_protocol::daemon::PtyScreenCell>> as serde_core::de::DeserializeSeed>::deserialize::<serde::private::de::content::ContentDeserializer<serde_json::error::Error>>
     0.23%  yoctui           yoctui            [.] <unicode_segmentation::grapheme::Graphemes as core::iter::traits::iterator::Iterator>::next
     0.22%  tokio-rt-worker  yoctui            [.] yoctui::daemon_pty::terminal_to_wire
     0.21%  tokio-rt-worker  libc.so.6         [.] __memmove_avx_unaligned_erms
     0.19%  yoctui           yoctui            [.] yoctui_ui::render_terminal_replica_content
     0.19%  yoctui           yoctui            [.] <u32 as itoa::Unsigned>::fmt
     0.18%  yoctui           yoctui            [.] <serde_json::ser::Compound<&mut alloc::vec::Vec<u8>, serde_json::ser::CompactFormatter> as serde_core::ser::SerializeStruct>::serialize_field::<bool>
     0.18%  tokio-rt-worker  yoctui            [.] <vt100::row::Row>::write_contents
     0.18%  yoctui           yoctui            [.] <yoctui_protocol::daemon::CompatibilitySnapshotData as core::clone::Clone>::clone
     0.17%  yoctui           yoctui            [.] <alloc::vec::Vec<yoctui_protocol::daemon::PtyScreenCell> as core::clone::Clone>::clone
     0.16%  yoctui           libc.so.6         [.] realloc
     0.16%  yoctui           yoctui            [.] <u64 as itoa::Unsigned>::fmt
     0.16%  yoctui           [unknown]         [k] 0xffffffff91e00b90
