# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 275  of event 'cycles:u'
# Event count (approx.): 938717604
#
# Overhead  Command  Shared Object     Symbol
# ........  .......  ................  ........................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................
#
    19.23%  yoctui   yoctui            [.] serde_json::ser::format_escaped_str::<&mut alloc::vec::Vec<u8>, serde_json::ser::CompactFormatter>
     7.78%  yoctui   libc.so.6         [.] __memmove_avx_unaligned_erms
     6.66%  yoctui   libc.so.6         [.] _int_malloc
     4.43%  yoctui   yoctui            [.] <ratatui_core::buffer::buffer::Buffer>::set_style::<ratatui_core::style::Style>
     4.24%  yoctui   libc.so.6         [.] __libc_malloc2
     3.94%  yoctui   yoctui            [.] <unicode_segmentation::grapheme::Graphemes as core::iter::traits::iterator::Iterator>::next
     3.33%  yoctui   yoctui            [.] <serde_json::ser::Compound<&mut alloc::vec::Vec<u8>, serde_json::ser::CompactFormatter> as serde_core::ser::SerializeStruct>::serialize_field::<core::option::Option<alloc::string::String>>
     3.27%  yoctui   yoctui            [.] yoctui::tui::{closure#0}
     3.19%  yoctui   libc.so.6         [.] _int_free_chunk
     3.15%  yoctui   libc.so.6         [.] _int_free_merge_chunk
     2.46%  yoctui   yoctui            [.] <core::iter::adapters::flatten::FlatMap<core::slice::iter::Iter<ratatui_core::text::span::Span>, core::iter::adapters::map::Map<core::iter::adapters::filter::Filter<unicode_segmentation::grapheme::Graphemes, <ratatui_core::text::span::Span>::styled_graphemes<ratatui_core::style::Style>::{closure#0}>, <ratatui_core::text::span::Span>::styled_graphemes<ratatui_core::style::Style>::{closure#1}>, <ratatui_core::text::line::Line>::styled_graphemes<ratatui_core::style::Style>::{closure#0}> as core::iter::traits::iterator::Iterator>::next
     2.24%  yoctui   yoctui            [.] <&ratatui_core::text::span::Span as ratatui_core::widgets::widget::Widget>::render
     2.21%  yoctui   yoctui            [.] <yoctui_protocol::daemon::DaemonSnapshotJournal>::synchronize_with_limit
     2.19%  yoctui   libc.so.6         [.] __syscall_cancel
     1.54%  yoctui   yoctui            [.] <ratatui_widgets::reflow::WordWrapper<core::iter::adapters::map::Map<core::slice::iter::Iter<ratatui_core::text::line::Line>, <ratatui_widgets::paragraph::Paragraph>::render_paragraph::{closure#0}>, core::iter::adapters::flatten::FlatMap<core::slice::iter::Iter<ratatui_core::text::span::Span>, core::iter::adapters::map::Map<core::iter::adapters::filter::Filter<unicode_segmentation::grapheme::Graphemes, <ratatui_core::text::span::Span>::styled_graphemes<ratatui_core::style::Style>::{closure#0}>, <ratatui_core::text::span::Span>::styled_graphemes<ratatui_core::style::Style>::{closure#1}>, <ratatui_core::text::line::Line>::styled_graphemes<ratatui_core::style::Style>::{closure#0}>> as ratatui_widgets::reflow::LineComposer>::next_line
     1.49%  yoctui   yoctui            [.] yoctui::run_daemon_foreground::{closure#0}
     1.48%  yoctui   libc.so.6         [.] malloc
     1.47%  yoctui   yoctui            [.] <ratatui_core::buffer::cell::Cell as core::cmp::PartialEq>::eq
     1.31%  yoctui   yoctui            [.] <core::str::iter::Chars as core::iter::traits::double_ended::DoubleEndedIterator>::rfold::<(usize, unicode_width::tables::WidthInfo), unicode_width::tables::str_width::{closure#0}>
     1.23%  yoctui   libc.so.6         [.] __memcmp_avx2_movbe
     1.20%  yoctui   yoctui            [.] <yoctui::daemon_security::DaemonSecuritySupervisor>::try_event
     1.01%  yoctui   yoctui            [.] <ratatui_core::buffer::diff::BufferDiff as core::iter::traits::iterator::Iterator>::next
     0.98%  yoctui   yoctui            [.] <&ratatui_widgets::clear::Clear as ratatui_core::widgets::widget::Widget>::render
     0.95%  yoctui   yoctui            [.] <std::io::error::Error>::kind
     0.79%  yoctui   yoctui            [.] <yoctui_protocol::daemon::DaemonBuildEvent as serde_core::ser::Serialize>::serialize::<&mut serde_json::ser::Serializer<&mut alloc::vec::Vec<u8>>>
     0.70%  yoctui   yoctui            [.] <&ratatui_widgets::block::Block as ratatui_core::widgets::widget::Widget>::render
     0.69%  yoctui   yoctui            [.] <ratatui_core::layout::layout::Layout>::split_with_spacers
     0.66%  yoctui   libc.so.6         [.] _int_free_maybe_trim
     0.64%  yoctui   yoctui            [.] yoctui::termination_requested
     0.64%  yoctui   libc.so.6         [.] cfree@GLIBC_2.2.5
     0.62%  yoctui   yoctui            [.] <ratatui_core::buffer::cell::Cell as ratatui_core::buffer::cell_width::CellWidth>::cell_width
     0.61%  yoctui   yoctui            [.] yoctui_model::onboarding::onboarding_completion_evidence
     0.61%  yoctui   yoctui            [.] alloc::fmt::format::format_inner
     0.59%  yoctui   yoctui            [.] <u8 as core::fmt::Display>::fmt
     0.58%  yoctui   yoctui            [.] core::ptr::drop_glue::<alloc::vec::Vec<yoctui_model::compatibility_ui::CompatibilityUiCapabilityRow>>
     0.58%  yoctui   yoctui            [.] <crossterm::event::source::unix::mio::UnixInternalEventSource as crossterm::event::source::EventSource>::try_read
     0.54%  yoctui   yoctui            [.] yoctui_model::telemetry_projection::series
     0.52%  yoctui   yoctui            [.] crossterm::event::poll
     0.51%  yoctui   yoctui            [.] <yoctui::daemon_raw::DaemonRawSupervisor>::try_event
     0.50%  yoctui   libc.so.6         [.] __memset_avx2_unaligned_erms
     0.44%  yoctui   [vdso]            [.] 0x00000000000009ec
     0.43%  yoctui   yoctui            [.] <ratatui_core::buffer::cell::Cell>::set_symbol
     0.42%  yoctui   yoctui            [.] core::ptr::drop_glue::<ratatui_widgets::block::Block>
     0.42%  yoctui   [vdso]            [.] 0x00000000000009b1
     0.42%  yoctui   yoctui            [.] <tokio::sync::mpsc::list::Rx<yoctui::daemon_security::DaemonSecurityEvent>>::pop
     0.41%  yoctui   yoctui            [.] <tokio::sync::mpsc::list::Rx<yoctui::daemon_raw::DaemonRawEvent>>::pop
     0.41%  yoctui   libc.so.6         [.] __errno_location
     0.40%  yoctui   yoctui            [.] serde_json::ser::to_vec::<yoctui_protocol::daemon::DaemonSnapshot>
     0.40%  yoctui   yoctui            [.] <serde_json::ser::Compound<&mut alloc::vec::Vec<u8>, serde_json::ser::CompactFormatter> as serde_core::ser::SerializeMap>::serialize_entry::<str, alloc::string::String>
     0.40%  yoctui   yoctui            [.] <crossterm::event::read::InternalEventReader>::poll::<crossterm::event::filter::EventFilter>
     0.39%  yoctui   libc.so.6         [.] clock_gettime@@GLIBC_2.17
     0.37%  yoctui   yoctui            [.] <yoctui::daemon_wic::DaemonWicSupervisor>::try_event
     0.37%  yoctui   yoctui            [.] <yoctui_protocol::daemon_ipc::DaemonConnection>::is_readable
     0.36%  yoctui   yoctui            [.] <yoctui::daemon_security::DaemonSecurityMapperSupervisor>::try_event
     0.36%  yoctui   yoctui            [.] <core::iter::adapters::map::Map<core::iter::adapters::filter::Filter<core::slice::iter::Iter<(yoctui_protocol::daemon_ipc::DaemonConnection, bool, bool, u64, yoctui_protocol::daemon::ClientId, core::option::Option<yoctui::daemon_rootfs::PendingQuery>)>, yoctui::run_daemon_foreground::{closure#0}::{closure#4}>, yoctui::run_daemon_foreground::{closure#0}::{closure#5}> as core::iter::traits::iterator::Iterator>::sum::<usize>
     0.36%  yoctui   yoctui            [.] <yoctui::daemon_test::DaemonTestSupervisor>::try_event
     0.33%  yoctui   yoctui            [.] core::ptr::drop_glue::<hashbrown::raw::RawTable<(alloc::string::String, alloc::string::String)>>
     0.31%  yoctui   yoctui            [.] <yoctui::daemon_sdk::DaemonSdkSupervisor>::try_event
     0.31%  yoctui   yoctui            [.] <ratatui_widgets::block::Block>::inner
     0.29%  yoctui   yoctui            [.] <yoctui_protocol::daemon::LogRecord as serde_core::ser::Serialize>::serialize::<&mut serde_json::ser::Serializer<&mut alloc::vec::Vec<u8>>>
     0.29%  yoctui   yoctui            [.] std::sys::fs::unix::try_statx
     0.21%  yoctui   yoctui            [.] <ratatui_core::text::line::Line>::render_with_alignment
